"version","N","threads","avg_ms","min_ms","max_ms","throughput_Mn_s","v4_speedup_vs_v3"
"v3","500000000","16","94,828","93,395","96,173","5272,704","0"
"v4","500000000","16","91,156","90,953","91,504","5485,102","1,0403"
