"version","wall_s","rng_calls","while_iters","event0","event1","event2","event3","event4","event5","exit_event","rng_calls_per_s","sec_per_1M_rng"
"old_profiled","188,381845","153943534","62797033","30767313","1510458","273529","5071","28349568","68660","1822334","817188,8","1,223707"
"new_profiled_threads1","14,3246625","149795166","61109280","29960431","1465446","265119","4994","27576706","66647","1769837","10457151,5","0,095628"
